academic_year,division,org_id,schedule_difficulty_score,schedule_difficulty_rank,wins,losses,ties,games_played,wp,opp_wp,opp_opp_wp,rpi,team_name,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage,sos_avg_opp_win_pct,sos_avg_opp_offense,sos_avg_opp_defense,sos_std_opp_win_pct,sos_stats_rank
2014,1,103519,0.5462046138910223,15,22,10,0,32,0.6875,0.5523316297672914,0.5568368005495233,0.5872500150210266,Johns Hopkins,Independent,11-5,7.44,6.13,0.826,0.57,30.63,0.659,0.545,,19.5,10.88,8.94,3.13,12.06,0.303,13.56,0.688,0.5475999999999999,17.62066666666667,10.148666666666667,0.21716838321143037,15
2014,1,103520,0.4283620237737425,58,4,22,0,26,0.1538461538461538,0.4270002872944048,0.4670527958566221,0.3687248810728964,Lafayette,Patriot,2-11,2.85,6.23,0.774,0.394,25.69,0.727,0.204,,9.0,10.38,11.38,-5.23,6.15,0.198,14.92,0.154,0.427076923076923,14.285384615384613,9.812307692307693,0.23405898715378484,58
2014,1,103521,0.37622472200505547,63,26,10,0,36,0.7222222222222222,0.4134263748234336,0.4960170008889389,0.5112729931895071,Lehigh,Patriot,13-5,6.33,9.39,0.877,0.538,31.28,0.714,0.365,,16.89,9.83,7.22,3.33,10.56,0.285,15.44,0.722,0.37546666666666667,13.932666666666668,10.30733333333333,0.23799604105017283,63
2014,1,103522,0.4909328592300994,34,30,4,0,34,0.8823529411764706,0.5087095094448035,0.5027804115937174,0.6006380929149487,Loyola Maryland,Patriot,15-2,7.53,8.06,0.918,0.525,36.0,0.686,0.442,,20.41,11.06,7.47,5.41,12.88,0.313,11.94,0.882,0.4909999999999999,15.849333333333334,9.845333333333334,0.21698294863882736,35
2014,1,103523,0.41571828213875284,59,10,20,0,30,0.3333333333333333,0.4169895137542196,0.4780791259737224,0.4113478717038737,Manhattan,MAAC,5-10,3.33,7.13,0.73,0.379,27.87,0.59,0.306,,10.47,13.07,11.0,-3.87,7.13,0.253,15.93,0.333,0.41713333333333336,15.250666666666666,10.454666666666666,0.2035949792002631,59
2014,1,103524,0.48731575717712705,38,12,18,0,30,0.4,0.4940838616148213,0.471193303031869,0.4648402565653778,Marist,MAAC,6-9,4.87,6.13,0.922,0.54,30.27,0.608,0.268,,15.87,10.8,11.67,-0.67,11.0,0.289,12.47,0.4,0.4873846153846154,15.175384615384614,10.205384615384617,0.1999802061210976,38
2014,1,103525,0.5228492886271014,23,12,20,0,32,0.375,0.5136902251622646,0.5097327843798587,0.4780283086760969,Marquette,Big East,6-10,4.56,6.19,0.883,0.441,26.44,0.467,0.411,,13.81,8.19,11.56,-2.31,9.25,0.287,12.56,0.375,0.5230666666666666,16.587333333333333,9.897333333333332,0.18682343417129327,24
2014,1,103527,0.5290259313522562,18,26,8,0,34,0.7647058823529411,0.5451330532212885,0.5572426921140239,0.6030536702273854,Maryland,ACC,13-4,5.29,7.47,0.904,0.646,35.06,0.587,0.444,,16.65,9.65,7.24,4.12,11.35,0.283,13.71,0.765,0.5291333333333333,17.371333333333332,10.445999999999998,0.2129741351014771,19
2014,1,103528,0.5562628414099327,14,14,12,0,26,0.5384615384615384,0.5564186818711706,0.5170579543597037,0.5420892141408958,Massachusetts,CAA,7-6,5.38,6.85,0.886,0.551,26.62,0.717,0.347,,14.54,10.54,9.69,-0.54,9.15,0.266,12.46,0.538,0.5564615384615385,16.126923076923074,9.5,0.13658337289538316,14
2014,1,103529,0.33896063825323636,67,14,14,0,28,0.5,0.3393715178379044,0.4549173712559393,0.408415101732937,Mercer,ASUN,7-7,5.43,6.36,0.872,0.559,28.64,0.655,0.371,,14.93,12.0,10.86,-1.36,9.5,0.281,15.43,0.5,0.3384615384615385,13.636923076923077,11.141538461538461,0.18934446240592034,67
2014,1,103530,0.5595428853863725,10,10,22,0,32,0.3125,0.5711536778172808,0.4798959058099461,0.4836758153611269,Michigan,ECAC,5-11,4.56,7.44,0.887,0.491,29.44,0.717,0.37,,14.38,10.31,12.56,-2.75,9.81,0.248,14.56,0.313,0.5593333333333332,16.062666666666665,9.452666666666664,0.1767701583664191,12
2014,1,103531,0.4812349406027838,40,0,26,0,26,0.0,0.4817452030121713,0.4327120909984439,0.3490506242556966,Monmouth,MAAC,0-13,2.77,8.46,0.837,0.296,26.15,0.656,0.267,,8.92,12.62,11.23,-5.08,6.15,0.182,15.38,0.0,0.48176923076923084,15.113846153846156,10.220769230769232,0.19197081262371182,40
2014,1,103532,0.507877915470054,27,2,30,0,32,0.0625,0.5080543435322846,0.4870474435262162,0.3914140326476963,Mount St. Mary's,NEC,1-15,2.69,6.63,0.776,0.47,26.38,0.477,0.311,,8.38,12.69,12.0,-6.31,5.69,0.205,18.19,0.063,0.5080625,15.252500000000001,10.055,0.18561063707058922,27
2014,1,103553,0.47604882346125055,42,8,20,0,28,0.2857142857142857,0.4935453668646946,0.4800429528556652,0.438211993074835,Navy,Patriot,4-10,4.5,7.71,0.839,0.559,29.29,0.667,0.179,,13.43,10.64,9.36,-0.43,8.93,0.243,14.5,0.286,0.476076923076923,14.263846153846155,9.57153846153846,0.25273015756806444,42
2014,1,103533,0.5595428853863725,10,20,10,0,30,0.6666666666666666,0.565417625889762,0.5460896191160987,0.5858978843905723,North Carolina,ACC,10-5,6.2,6.87,0.87,0.484,32.6,0.731,0.444,,19.2,10.53,8.4,4.6,13.0,0.329,12.2,0.667,0.5612857142857142,17.091428571428573,10.260714285714286,0.22412701391699066,10
2014,1,103534,0.594650699613747,2,24,12,0,36,0.6666666666666666,0.6337509340218319,0.5533389236127485,0.6218768645807697,Notre Dame,ACC,12-6,6.06,6.83,0.868,0.552,30.72,0.576,0.522,,17.89,9.44,9.56,2.28,11.83,0.319,14.33,0.667,0.5958571428571428,18.080000000000002,9.805000000000001,0.16805860250981208,3
