academic_year,division,team_name,org_id,conference,record,assists_per_game,caused_turnovers_per_game,clearing_percentage,face_off_winning_percentage,ground_balls_per_game,man_down_defense,man_up_offense,opponent_clear_percentage,points_per_game,saves_per_game,scoring_defense,scoring_margin,scoring_offense,shot_percentage,turnovers_per_game,winning_percentage
2014,2,Wheeling,12799,,10-3,5.62,8.15,0.916,0.537,,0.833,,,18.31,,7.92,4.77,12.69,0.334,14.92,0.769
2014,2,Tusculum,12830,,5-8,,,,,31.0,0.744,,,,13.0,,,,,,
2014,2,Post,1318,,4-11,,,,,,,,,,12.6,,,,0.272,,
2014,2,Rockhurst,1328,,2-8,,,,,,,,,,13.0,,,,,,
2014,2,Lees-McRae,13302,,0-14,,,,,,,,,,12.57,,,,,,
2014,2,Saint Rose,1347,,2-12,,,,,,,,,,,,,,,,
2014,2,Wingate,1462,,7-6,8.23,,0.892,0.615,36.15,0.791,0.373,,21.08,11.85,,2.92,12.85,0.31,,
2014,2,Ohio Valley,15207,,2-14,,,,,,,,,,13.94,,,,,,
2014,2,Dist. Columbia,186,,3-8,,8.73,,,,,,,,16.09,,,,,,
2014,2,Lynn,20794,,1-10,,,,,33.09,,,,,18.09,,,,,,
2014,2,Chestnut Hill,21323,,7-6,6.69,,,,30.0,,0.431,,18.46,12.38,,,11.77,0.317,,
2014,2,American Int'l,22,,2-14,5.5,,,,,,,,,14.75,,,,0.282,,
2014,2,Florida Tech,230,,3-9,6.25,7.33,,,32.83,,,,17.83,10.92,,,,0.277,16.0,
2014,2,Fla. Southern,233,,11-4,7.93,7.8,0.896,0.595,36.6,0.72,0.406,,22.47,,,5.27,14.53,0.324,15.93,0.733
2014,2,Franklin Pierce,241,,6-7,,8.69,,,31.54,0.726,,,,13.46,8.92,,,,15.54,
2014,2,Belmont Abbey,2683,,6-10,,9.19,,,,,,,15.69,,,,,0.281,15.56,
2014,2,Dowling,2692,,12-5,6.71,9.18,,0.581,33.53,,0.397,,20.0,,8.29,5.0,13.29,0.333,14.71,0.706
2014,2,Lake Erie,2746,,10-4,7.14,7.43,0.902,0.564,30.14,0.71,0.511,,19.71,,7.57,5.0,12.57,0.28,13.86,0.714
2014,2,Adelphi,3,,17-2,6.26,7.58,,0.657,38.21,,,,19.58,,8.47,4.84,13.32,0.275,16.11,0.895
2014,2,Notre Dame de Namur,30056,,1-8,,,,,,,,,,14.33,,,,,14.67,
2014,2,Seton Hill,30063,,10-6,7.06,7.69,0.903,,,,0.433,,19.31,,,2.56,12.25,0.345,16.81,0.625
2014,2,Brevard,30094,,3-10,,,,,,0.812,,,,16.23,,,,0.281,14.46,
2014,2,Lindenwood,30136,,5-7,,11.17,,0.562,40.58,0.72,0.4,,16.83,,,,,0.287,,
2014,2,Walsh,30141,,4-7,,8.82,,,30.0,,,,,,,,,,16.09,
2014,2,Roberts Wesleyan,30150,,6-9,,,,,,,,,,,,,,,,
2014,2,Shorter,30151,,7-7,,,,,,,,,,,,,,,,
2014,2,Young Harris,30154,,6-9,,,,0.534,,,,,,11.2,,,,,,
2014,2,Le Moyne,349,,13-3,8.56,8.13,,0.56,31.25,,0.447,,22.06,,6.81,6.69,13.5,0.333,15.44,0.813
2014,2,Assumption,36,,5-9,5.64,,,0.566,31.07,,,,,,,,,,,
2014,2,LIU Post,362,,11-6,5.76,8.06,,,,,0.417,,16.47,,7.24,3.47,,,13.76,0.647
2014,2,Mercy,407,,10-6,5.56,9.38,,0.616,36.25,,,,16.5,,8.25,2.69,,0.281,,0.625
2014,2,Mercyhurst,408,,12-4,8.06,7.94,0.897,0.609,,0.75,0.431,,19.25,,6.19,5.0,,0.3,12.31,0.75
2014,2,Merrimack,410,,12-5,,,,,34.12,0.754,0.358,,16.18,,8.12,2.82,,,15.35,0.706
2014,2,Molloy,437,,8-6,5.93,8.21,,,,0.767,,,17.79,,8.79,3.07,11.86,0.289,14.86,
